name,ticker,sector,share_price,shares_outstanding,price_52w_high,revenue,ebitda,ebit,net_income,interest_expense,free_cash_flow,total_debt,cash,shareholders_equity,insider_ownership_pct
Meridian Foods,MERF,Consumer Staples,18.50,120,31.00,3200,430,300,180,35,260,900,150,1400,0.06
Cobalt Software,CBLT,Technology,42.00,80,55.00,1100,240,190,150,10,210,120,640,780,0.09
Ridgeline Industrials,RDGL,Industrials,64.00,45,70.00,2600,360,250,150,45,190,1300,110,1250,0.31
Harbor Retail Group,HRBR,Consumer Discretionary,7.20,210,19.50,5400,300,150,60,90,120,1500,90,900,0.04
Solara Energy,SLRA,Energy,29.00,95,33.00,4100,880,560,320,110,470,2600,220,3100,0.14
Pinecrest Media,PNCM,Communication Services,11.80,160,26.00,1800,260,140,70,70,130,1100,80,700,0.07
Vantage Semiconductors,VNTG,Technology,88.00,140,92.00,6200,1900,1500,1150,60,1200,900,2400,5400,0.11
Coastal Pharma,CSTP,Health Care,53.00,70,61.00,2100,520,410,300,25,360,400,700,1900,0.20
Ironwood Materials,IRNW,Materials,22.50,130,41.00,3600,410,240,120,80,150,1900,120,1600,0.05
Beacon Financial,BCNF,Financials,34.00,110,38.00,2900,700,600,420,30,380,800,900,3300,0.16
Northwind Logistics,NRWD,Industrials,15.40,175,28.00,4300,380,210,95,85,170,1650,140,1150,0.08
Emberline Brands,EMBR,Consumer Staples,26.00,90,29.00,1500,330,270,190,20,240,350,260,1250,0.28
